title_id,title,genre,release_year,runtime_min
82,Comedy Title 82,Comedy,2011,25
83,Romance Title 83,Romance,2015,30
84,Kids Title 84,Kids,2013,90
85,Thriller Title 85,Thriller,2017,50
86,Kids Title 86,Kids,2012,120
87,Comedy Title 87,Comedy,2022,120
88,Romance Title 88,Romance,2016,50
89,Drama Title 89,Drama,2011,110
90,Action Title 90,Action,2016,110
91,Documentary Title 91,Documentary,2023,25
92,Thriller Title 92,Thriller,2020,30
93,Drama Title 93,Drama,2016,100
94,Romance Title 94,Romance,2023,30
95,Comedy Title 95,Comedy,2013,50
96,Kids Title 96,Kids,2017,45
97,Documentary Title 97,Documentary,2012,90
98,Documentary Title 98,Documentary,2013,30
99,Documentary Title 99,Documentary,2022,30
100,Drama Title 100,Drama,2020,25
101,Drama Title 101,Drama,2022,50
102,Comedy Title 102,Comedy,2016,120
103,Documentary Title 103,Documentary,2013,110
104,Drama Title 104,Drama,2012,110
105,Drama Title 105,Drama,2016,90
106,Romance Title 106,Romance,2022,120
107,Action Title 107,Action,2016,120
108,Comedy Title 108,Comedy,2013,90
109,Comedy Title 109,Comedy,2010,25
110,Thriller Title 110,Thriller,2015,25
111,Drama Title 111,Drama,2019,120
112,Kids Title 112,Kids,2023,45
113,Drama Title 113,Drama,2018,30
114,Romance Title 114,Romance,2012,30
115,Kids Title 115,Kids,2011,50
116,Documentary Title 116,Documentary,2011,50
117,Kids Title 117,Kids,2019,25
118,Kids Title 118,Kids,2011,110
119,Thriller Title 119,Thriller,2019,100
120,Action Title 120,Action,2013,100
121,Comedy Title 121,Comedy,2014,110
122,Comedy Title 122,Comedy,2020,90
123,Documentary Title 123,Documentary,2015,30
124,Drama Title 124,Drama,2017,30
125,Drama Title 125,Drama,2018,50
126,Kids Title 126,Kids,2014,45
127,Action Title 127,Action,2011,50
128,Action Title 128,Action,2014,45
129,Documentary Title 129,Documentary,2023,90
130,Kids Title 130,Kids,2022,25
131,Thriller Title 131,Thriller,2023,90
132,Thriller Title 132,Thriller,2011,45
133,Action Title 133,Action,2011,30
134,Thriller Title 134,Thriller,2018,45
135,Action Title 135,Action,2014,50
136,Thriller Title 136,Thriller,2015,50
137,Thriller Title 137,Thriller,2020,90
138,Kids Title 138,Kids,2017,90
139,Romance Title 139,Romance,2010,30
140,Thriller Title 140,Thriller,2016,90
141,Drama Title 141,Drama,2010,100
142,Romance Title 142,Romance,2012,90
143,Comedy Title 143,Comedy,2021,120
144,Kids Title 144,Kids,2021,110
145,Kids Title 145,Kids,2010,30
146,Drama Title 146,Drama,2021,45
147,Kids Title 147,Kids,2010,100
148,Kids Title 148,Kids,2018,45
149,Documentary Title 149,Documentary,2012,25
150,Action Title 150,Action,2015,25
151,Action Title 151,Action,2013,50
152,Thriller Title 152,Thriller,2011,100
153,Romance Title 153,Romance,2018,110
154,Kids Title 154,Kids,2021,45
155,Comedy Title 155,Comedy,2023,45
156,Romance Title 156,Romance,2022,45
157,Documentary Title 157,Documentary,2010,45
158,Thriller Title 158,Thriller,2015,110
159,Romance Title 159,Romance,2020,50
160,Action Title 160,Action,2012,30
161,Documentary Title 161,Documentary,2023,25
162,Romance Title 162,Romance,2017,50
163,Comedy Title 163,Comedy,2023,120
164,Action Title 164,Action,2014,50
165,Comedy Title 165,Comedy,2010,50
166,Documentary Title 166,Documentary,2015,90
167,Romance Title 167,Romance,2011,90
168,Action Title 168,Action,2020,110
169,Thriller Title 169,Thriller,2023,100
170,Drama Title 170,Drama,2011,90
171,Comedy Title 171,Comedy,2019,90
172,Drama Title 172,Drama,2011,110
173,Action Title 173,Action,2021,100
174,Documentary Title 174,Documentary,2019,30
175,Documentary Title 175,Documentary,2019,50
176,Action Title 176,Action,2010,110
177,Drama Title 177,Drama,2018,50
178,Action Title 178,Action,2016,30
179,Thriller Title 179,Thriller,2015,100
180,Thriller Title 180,Thriller,2023,30
181,Thriller Title 181,Thriller,2014,90
182,Thriller Title 182,Thriller,2016,100
183,Documentary Title 183,Documentary,2021,90
184,Kids Title 184,Kids,2012,50
185,Documentary Title 185,Documentary,2020,110
186,Thriller Title 186,Thriller,2021,45
187,Kids Title 187,Kids,2019,90
188,Documentary Title 188,Documentary,2018,25
189,Action Title 189,Action,2014,50
190,Documentary Title 190,Documentary,2022,100
191,Documentary Title 191,Documentary,2017,120
192,Thriller Title 192,Thriller,2013,120
193,Romance Title 193,Romance,2022,45
194,Thriller Title 194,Thriller,2011,90
195,Kids Title 195,Kids,2020,100
196,Drama Title 196,Drama,2023,50
197,Thriller Title 197,Thriller,2014,50
198,Romance Title 198,Romance,2013,45
199,Drama Title 199,Drama,2010,50
200,Documentary Title 200,Documentary,2019,30
201,Documentary Title 201,Documentary,2016,50
202,Thriller Title 202,Thriller,2021,110
203,Documentary Title 203,Documentary,2016,50
204,Comedy Title 204,Comedy,2020,25
205,Romance Title 205,Romance,2023,30
206,Romance Title 206,Romance,2016,50
207,Comedy Title 207,Comedy,2022,120
208,Drama Title 208,Drama,2018,50
209,Romance Title 209,Romance,2011,120
210,Comedy Title 210,Comedy,2022,120
211,Thriller Title 211,Thriller,2018,100
212,Romance Title 212,Romance,2017,110
213,Romance Title 213,Romance,2018,120
214,Comedy Title 214,Comedy,2021,120
215,Documentary Title 215,Documentary,2014,50
216,Romance Title 216,Romance,2020,90
217,Romance Title 217,Romance,2022,120
218,Thriller Title 218,Thriller,2013,90
219,Documentary Title 219,Documentary,2011,90
220,Comedy Title 220,Comedy,2014,100
221,Action Title 221,Action,2018,30
222,Comedy Title 222,Comedy,2012,50
223,Documentary Title 223,Documentary,2021,45
224,Thriller Title 224,Thriller,2013,30
225,Documentary Title 225,Documentary,2016,100
226,Kids Title 226,Kids,2017,110
227,Drama Title 227,Drama,2013,110
228,Documentary Title 228,Documentary,2022,25
229,Romance Title 229,Romance,2022,110
230,Documentary Title 230,Documentary,2010,100
231,Action Title 231,Action,2022,110
232,Romance Title 232,Romance,2023,110
233,Kids Title 233,Kids,2021,50
234,Documentary Title 234,Documentary,2013,90
235,Documentary Title 235,Documentary,2017,25
236,Documentary Title 236,Documentary,2015,110
237,Thriller Title 237,Thriller,2012,120
238,Comedy Title 238,Comedy,2019,25
239,Documentary Title 239,Documentary,2019,25
240,Drama Title 240,Drama,2020,110
241,Comedy Title 241,Comedy,2023,120
242,Comedy Title 242,Comedy,2010,90
243,Documentary Title 243,Documentary,2015,50
244,Documentary Title 244,Documentary,2015,100
245,Romance Title 245,Romance,2016,90
246,Romance Title 246,Romance,2023,110
247,Action Title 247,Action,2023,30
248,Documentary Title 248,Documentary,2010,25
249,Action Title 249,Action,2013,30
250,Romance Title 250,Romance,2020,25
251,Romance Title 251,Romance,2010,50
252,Comedy Title 252,Comedy,2023,25
253,Kids Title 253,Kids,2012,50
254,Comedy Title 254,Comedy,2017,30
255,Kids Title 255,Kids,2013,120
256,Thriller Title 256,Thriller,2014,100
257,Comedy Title 257,Comedy,2019,30
258,Romance Title 258,Romance,2023,45
259,Action Title 259,Action,2011,25
260,Action Title 260,Action,2019,110
261,Documentary Title 261,Documentary,2021,50
262,Drama Title 262,Drama,2019,50
263,Drama Title 263,Drama,2021,90
264,Romance Title 264,Romance,2020,30
265,Romance Title 265,Romance,2019,25
266,Action Title 266,Action,2018,110
267,Thriller Title 267,Thriller,2015,30
268,Kids Title 268,Kids,2020,100
269,Drama Title 269,Drama,2023,110
270,Romance Title 270,Romance,2017,30
271,Documentary Title 271,Documentary,2015,120
272,Thriller Title 272,Thriller,2012,110
273,Comedy Title 273,Comedy,2021,90
274,Kids Title 274,Kids,2022,120
275,Documentary Title 275,Documentary,2016,90
276,Action Title 276,Action,2023,50
277,Romance Title 277,Romance,2011,90
278,Documentary Title 278,Documentary,2013,120
279,Kids Title 279,Kids,2019,110
280,Action Title 280,Action,2010,120
281,Romance Title 281,Romance,2015,45
282,Documentary Title 282,Documentary,2013,100
283,Romance Title 283,Romance,2014,100
284,Action Title 284,Action,2019,90
285,Kids Title 285,Kids,2010,50
286,Drama Title 286,Drama,2013,110
287,Documentary Title 287,Documentary,2018,50
288,Thriller Title 288,Thriller,2017,120
289,Documentary Title 289,Documentary,2022,25
290,Drama Title 290,Drama,2014,50
291,Documentary Title 291,Documentary,2021,50
292,Action Title 292,Action,2020,100
293,Documentary Title 293,Documentary,2018,100
294,Documentary Title 294,Documentary,2021,100
295,Action Title 295,Action,2021,120
296,Action Title 296,Action,2014,90
297,Comedy Title 297,Comedy,2011,50
298,Action Title 298,Action,2011,45
299,Comedy Title 299,Comedy,2013,120
300,Action Title 300,Action,2021,90
