event_date,dau
2022-12-20,238
2022-12-21,197
2022-12-22,228
2022-12-23,218
2022-12-24,196
2022-12-25,234
2022-12-26,221
2022-12-27,239
2022-12-28,207
2022-12-29,227
2022-12-30,211
2022-12-31,242
2023-01-01,208
2023-01-02,215
2023-01-03,223
2023-01-04,220
2023-01-05,239
2023-01-06,216
2023-01-07,245
2023-01-08,213
2023-01-09,206
2023-01-10,208
2023-01-11,202
2023-01-12,237
2023-01-13,233
2023-01-14,228
2023-01-15,227
2023-01-16,222
2023-01-17,200
2023-01-18,232
2023-01-19,204
2023-01-20,212
2023-01-21,220
2023-01-22,217
2023-01-23,227
2023-01-24,199
2023-01-25,208
2023-01-26,209
2023-01-27,206
2023-01-28,220
2023-01-29,220
2023-01-30,189
2023-01-31,230
2023-02-01,206
2023-02-02,217
2023-02-03,204
2023-02-04,197
2023-02-05,205
2023-02-06,206
2023-02-07,180
2023-02-08,201
2023-02-09,198
2023-02-10,173
2023-02-11,184
2023-02-12,233
2023-02-13,207
2023-02-14,173
2023-02-15,210
2023-02-16,228
2023-02-17,206
2023-02-18,197
2023-02-19,202
2023-02-20,190
2023-02-21,217
2023-02-22,180
2023-02-23,200
2023-02-24,204
2023-02-25,219
2023-02-26,205
2023-02-27,213
2023-02-28,201
2023-03-01,202
2023-03-02,198
2023-03-03,187
2023-03-04,199
2023-03-05,189
2023-03-06,178
2023-03-07,195
2023-03-08,208
2023-03-09,193
2023-03-10,196
2023-03-11,180
2023-03-12,206
2023-03-13,176
2023-03-14,197
2023-03-15,202
2023-03-16,211
2023-03-17,191
2023-03-18,180
2023-03-19,208
2023-03-20,184
2023-03-21,184
2023-03-22,200
2023-03-23,179
2023-03-24,171
2023-03-25,188
2023-03-26,180
2023-03-27,180
2023-03-28,179
2023-03-29,192
2023-03-30,171
2023-03-31,195
2023-04-01,173
2023-04-02,213
2023-04-03,174
2023-04-04,189
2023-04-05,172
2023-04-06,156
2023-04-07,175
2023-04-08,189
2023-04-09,178
2023-04-10,181
2023-04-11,168
2023-04-12,184
2023-04-13,177
2023-04-14,170
2023-04-15,187
2023-04-16,179
2023-04-17,158
2023-04-18,183
2023-04-19,172
2023-04-20,182
2023-04-21,182
2023-04-22,168
2023-04-23,169
2023-04-24,172
2023-04-25,179
2023-04-26,196
2023-04-27,180
2023-04-28,182
2023-04-29,149
2023-04-30,163
2023-05-01,204
2023-05-02,178
2023-05-03,167
2023-05-04,176
2023-05-05,176
2023-05-06,162
2023-05-07,176
2023-05-08,183
2023-05-09,157
2023-05-10,184
2023-05-11,188
2023-05-12,169
2023-05-13,156
2023-05-14,166
2023-05-15,169
2023-05-16,164
2023-05-17,175
2023-05-18,145
2023-05-19,173
2023-05-20,156
2023-05-21,170
2023-05-22,157
2023-05-23,153
2023-05-24,145
2023-05-25,163
2023-05-26,154
2023-05-27,177
2023-05-28,133
2023-05-29,161
2023-05-30,166
2023-05-31,166
2023-06-01,169
2023-06-02,170
2023-06-03,164
2023-06-04,155
2023-06-05,141
2023-06-06,134
2023-06-07,148
2023-06-08,167
2023-06-09,158
2023-06-10,149
2023-06-11,161
2023-06-12,141
2023-06-13,178
2023-06-14,152
2023-06-15,148
2023-06-16,147
2023-06-17,150
2023-06-18,123
2023-06-19,175
2023-06-20,160
2023-06-21,155
2023-06-22,141
2023-06-23,168
2023-06-24,152
2023-06-25,135
2023-06-26,154
2023-06-27,156
2023-06-28,154
2023-06-29,159
2023-06-30,150
2023-07-01,134
2023-07-02,134
2023-07-03,136
2023-07-04,156
2023-07-05,157
2023-07-06,146
2023-07-07,146
2023-07-08,158
2023-07-09,159
2023-07-10,141
2023-07-11,137
2023-07-12,163
2023-07-13,135
2023-07-14,153
2023-07-15,126
