user_id,subscription_type,country,device,cohort,days_since_last_seen,churned
41,Premium,United States,Laptop,2023-01,7,False
42,Basic,Canada,Smartphone,2022-06,5,False
43,Standard,United Kingdom,Smart TV,2022-02,26,False
44,Standard,Australia,Tablet,2022-04,149,True
45,Basic,Germany,Laptop,2023-01,9,False
46,Premium,France,Smartphone,2022-02,428,True
47,Basic,Brazil,Smart TV,2022-10,12,False
48,Standard,Mexico,Tablet,2021-09,372,True
49,Premium,Spain,Laptop,2022-11,4,False
50,Basic,Italy,Smartphone,2023-06,4,False
51,Premium,United States,Smart TV,2023-02,111,True
52,Basic,Canada,Tablet,2022-08,240,True
53,Standard,United Kingdom,Laptop,2022-01,250,True
54,Standard,Australia,Smartphone,2022-06,82,True
55,Basic,Germany,Smart TV,2023-04,2,False
56,Premium,France,Tablet,2022-03,5,False
57,Basic,Brazil,Laptop,2022-10,108,True
58,Standard,Mexico,Smartphone,2021-10,557,True
59,Premium,Spain,Smart TV,2022-12,196,True
60,Basic,Italy,Tablet,2023-06,2,False
61,Premium,United States,Laptop,2023-02,16,False
62,Basic,Canada,Smartphone,2022-08,258,True
63,Standard,United Kingdom,Smart TV,2022-02,4,False
64,Standard,Australia,Tablet,2022-06,1,False
65,Basic,Germany,Laptop,2023-03,3,False
66,Premium,France,Smartphone,2022-01,0,False
67,Basic,Brazil,Smart TV,2022-09,8,False
68,Standard,Mexico,Tablet,2021-11,449,True
69,Premium,Spain,Laptop,2022-12,3,False
70,Basic,Italy,Smartphone,2023-05,0,False
71,Basic,United States,Smartphone,2022-01,38,True
72,Basic,Canada,Smartphone,2022-10,8,False
73,Standard,United Kingdom,Laptop,2022-09,264,True
74,Premium,Australia,Smartphone,2022-12,125,True
75,Basic,Germany,Laptop,2022-05,19,False
76,Basic,France,Laptop,2021-12,481,True
77,Premium,Brazil,Smartphone,2022-12,173,True
78,Standard,Mexico,Tablet,2022-11,1,False
79,Standard,Spain,Laptop,2022-12,2,False
80,Basic,Italy,Tablet,2022-11,70,True
81,Premium,United States,Tablet,2023-01,97,True
82,Standard,Canada,Laptop,2022-12,134,True
83,Basic,United Kingdom,Smartphone,2022-10,240,True
84,Standard,Australia,Smartphone,2023-04,5,False
85,Premium,Germany,Laptop,2023-04,7,False
86,Basic,France,Smartphone,2022-03,2,False
87,Premium,Brazil,Smart TV,2021-12,267,True
88,Standard,Mexico,Tablet,2022-09,114,True
89,Basic,Spain,Smartphone,2022-10,88,True
90,Standard,Italy,Smartphone,2023-02,3,False
91,Premium,United States,Tablet,2022-10,0,False
92,Basic,Canada,Smart TV,2022-01,7,False
93,Standard,United Kingdom,Smartphone,2022-02,346,True
94,Premium,Australia,Smartphone,2022-03,184,True
95,Basic,Germany,Laptop,2022-02,14,False
96,Premium,France,Laptop,2022-07,175,True
97,Basic,Brazil,Tablet,2022-03,205,True
98,Standard,Mexico,Tablet,2022-03,329,True
99,Standard,Spain,Tablet,2023-01,3,False
100,Basic,Italy,Laptop,2023-01,3,False
101,Premium,United States,Tablet,2022-10,243,True
102,Basic,Canada,Tablet,2022-03,181,True
103,Standard,United Kingdom,Laptop,2022-04,448,True
104,Premium,Australia,Laptop,2022-06,13,False
105,Basic,Germany,Laptop,2022-03,198,True
106,Premium,France,Tablet,2022-03,454,True
107,Basic,Brazil,Smart TV,2022-03,3,False
108,Standard,Mexico,Smart TV,2022-05,238,True
109,Standard,Spain,Tablet,2023-02,7,False
110,Basic,Italy,Laptop,2023-01,8,False
111,Premium,United States,Tablet,2022-07,2,False
112,Basic,Canada,Laptop,2022-06,5,False
113,Standard,United Kingdom,Tablet,2022-05,417,True
114,Premium,Australia,Smartphone,2022-11,59,True
115,Basic,Germany,Laptop,2022-04,2,False
116,Premium,France,Smart TV,2022-05,246,True
117,Basic,Brazil,Tablet,2021-10,534,True
118,Standard,Mexico,Smartphone,2022-08,1,False
119,Standard,Spain,Smartphone,2022-09,7,False
120,Basic,Italy,Smart TV,2022-10,12,False
121,Premium,United States,Smart TV,2022-10,195,True
122,Basic,Canada,Smart TV,2022-05,142,True
123,Standard,United Kingdom,Smartphone,2022-05,121,True
124,Premium,Australia,Laptop,2022-11,225,True
125,Basic,Germany,Smartphone,2022-08,0,False
126,Premium,France,Laptop,2022-09,6,False
127,Basic,Brazil,Smartphone,2021-11,419,True
128,Standard,Mexico,Smartphone,2022-10,9,False
129,Standard,Spain,Smart TV,2022-11,0,False
130,Basic,Italy,Tablet,2023-01,6,False
131,Premium,United States,Laptop,2022-10,260,True
132,Basic,Canada,Smart TV,2022-06,13,False
133,Standard,United Kingdom,Smart TV,2022-06,358,True
134,Premium,Australia,Tablet,2022-11,182,True
135,Basic,Germany,Smart TV,2022-07,8,False
136,Premium,France,Smart TV,2022-09,217,True
137,Basic,Brazil,Laptop,2022-08,5,False
138,Standard,Mexico,Laptop,2022-09,14,False
139,Standard,Spain,Smartphone,2023-03,29,False
140,Basic,Italy,Smartphone,2022-05,142,True
141,Premium,United States,Smartphone,2022-05,259,True
142,Basic,Canada,Smart TV,2022-06,105,True
143,Standard,United Kingdom,Tablet,2022-08,4,False
144,Premium,Australia,Smart TV,2022-08,307,True
145,Basic,Germany,Laptop,2022-05,354,True
146,Basic,France,Tablet,2022-10,211,True
147,Basic,Brazil,Laptop,2022-11,166,True
148,Standard,Mexico,Smartphone,2022-11,140,True
149,Premium,Spain,Smart TV,2022-11,7,False
150,Basic,Italy,Laptop,2022-12,122,True
151,Basic,United States,Laptop,2022-12,136,True
152,Premium,Canada,Tablet,2022-11,59,True
153,Standard,United Kingdom,Smartphone,2022-12,24,False
154,Standard,Australia,Laptop,2023-03,99,True
155,Basic,Germany,Tablet,2022-11,154,True
156,Premium,France,Smartphone,2022-08,2,False
157,Standard,Brazil,Laptop,2022-09,204,True
158,Basic,Mexico,Smartphone,2022-10,1,False
159,Standard,Spain,Smart TV,2022-12,6,False
160,Premium,Italy,Smartphone,2022-10,86,True
161,Basic,United States,Tablet,2022-10,15,False
162,Premium,Canada,Laptop,2022-04,14,False
163,Standard,United Kingdom,Laptop,2022-04,168,True
164,Basic,Australia,Tablet,2022-03,312,True
165,Standard,Germany,Tablet,2022-05,8,False
166,Premium,France,Laptop,2022-04,277,True
167,Basic,Brazil,Smartphone,2022-04,3,False
168,Standard,Mexico,Tablet,2022-12,37,True
169,Premium,Spain,Tablet,2023-01,151,True
170,Basic,Italy,Laptop,2023-01,10,False
171,Premium,United States,Tablet,2022-04,266,True
172,Basic,Canada,Smartphone,2022-04,371,True
173,Standard,United Kingdom,Smartphone,2022-06,1,False
174,Standard,Australia,Tablet,2022-04,421,True
175,Basic,Germany,Laptop,2022-04,180,True
176,Premium,France,Smart TV,2022-04,159,True
177,Basic,Brazil,Smartphone,2022-05,355,True
178,Standard,Mexico,Laptop,2022-10,188,True
179,Premium,Spain,Tablet,2022-12,15,False
180,Basic,Italy,Laptop,2022-09,118,True
181,Premium,United States,Smartphone,2022-06,1,False
182,Basic,Canada,Laptop,2022-05,4,False
183,Standard,United Kingdom,Tablet,2022-05,392,True
184,Standard,Australia,Laptop,2022-04,360,True
185,Basic,Germany,Tablet,2022-05,2,False
186,Premium,France,Smart TV,2022-03,413,True
187,Basic,Brazil,Laptop,2022-07,5,False
188,Standard,Mexico,Smart TV,2022-07,1,False
189,Premium,Spain,Smart TV,2022-09,142,True
190,Basic,Italy,Tablet,2022-09,279,True
191,Premium,United States,Laptop,2022-07,200,True
192,Basic,Canada,Smartphone,2022-06,2,False
193,Standard,United Kingdom,Laptop,2022-08,174,True
194,Standard,Australia,Laptop,2022-08,1,False
195,Basic,Germany,Smartphone,2022-08,239,True
196,Premium,France,Smart TV,2022-06,229,True
197,Basic,Brazil,Tablet,2022-09,117,True
198,Standard,Mexico,Laptop,2022-10,13,False
199,Premium,Spain,Tablet,2022-10,9,False
200,Basic,Italy,Tablet,2022-10,2,False
201,Premium,United States,Smart TV,2022-07,201,True
202,Basic,Canada,Tablet,2022-06,5,False
203,Standard,United Kingdom,Smart TV,2022-07,0,False
204,Standard,Australia,Smartphone,2022-07,183,True
205,Basic,Germany,Smart TV,2022-07,261,True
206,Premium,France,Smartphone,2022-08,1,False
207,Basic,Brazil,Smartphone,2022-09,2,False
208,Standard,Mexico,Tablet,2023-01,164,True
209,Premium,Spain,Laptop,2022-12,9,False
210,Basic,Italy,Laptop,2022-11,56,True
211,Premium,United States,Tablet,2022-11,2,False
212,Basic,Canada,Smart TV,2022-10,7,False
213,Standard,United Kingdom,Smart TV,2022-09,134,True
214,Standard,Australia,Laptop,2022-06,352,True
215,Basic,Germany,Smartphone,2022-09,233,True
216,Premium,France,Smart TV,2022-10,192,True
217,Basic,Brazil,Smart TV,2022-11,69,True
218,Standard,Mexico,Tablet,2022-11,215,True
219,Premium,Spain,Smartphone,2022-11,160,True
220,Basic,Italy,Tablet,2022-11,22,False
221,Basic,United States,Smartphone,2022-11,1,False
222,Basic,Canada,Smartphone,2022-12,127,True
223,Standard,United Kingdom,Smartphone,2023-01,16,False
224,Premium,Australia,Smartphone,2022-11,24,False
225,Basic,Germany,Smartphone,2022-10,14,False
226,Basic,France,Smartphone,2022-09,23,False
227,Premium,Brazil,Smartphone,2022-09,264,True
228,Standard,Mexico,Smart TV,2022-11,7,False
229,Standard,Spain,Smartphone,2022-11,1,False
230,Basic,Italy,Laptop,2022-10,3,False
231,Premium,United States,Smartphone,2022-10,88,True
232,Standard,Canada,Smartphone,2022-08,19,False
233,Basic,United Kingdom,Smart TV,2022-07,344,True
234,Standard,Australia,Laptop,2022-05,6,False
235,Premium,Germany,Laptop,2022-05,267,True
236,Basic,France,Smartphone,2022-05,15,False
237,Premium,Brazil,Tablet,2022-07,5,False
238,Standard,Mexico,Smartphone,2022-07,20,False
239,Basic,Spain,Smart TV,2022-12,15,False
240,Standard,Italy,Smartphone,2022-06,87,True
241,Premium,United States,Laptop,2022-05,0,False
242,Basic,Canada,Laptop,2022-06,237,True
243,Standard,United Kingdom,Laptop,2022-05,10,False
244,Premium,Australia,Smartphone,2022-04,44,True
245,Basic,Germany,Smart TV,2022-04,6,False
246,Premium,France,Smartphone,2022-05,139,True
247,Basic,Brazil,Smart TV,2022-07,7,False
248,Standard,Mexico,Smartphone,2022-09,29,False
249,Standard,Spain,Smartphone,2022-09,214,True
250,Basic,Italy,Laptop,2022-08,52,True
251,Premium,United States,Laptop,2022-06,87,True
252,Basic,Canada,Smartphone,2022-05,232,True
253,Standard,United Kingdom,Tablet,2022-05,392,True
254,Premium,Australia,Smart TV,2022-05,259,True
255,Basic,Germany,Smart TV,2022-05,3,False
256,Premium,France,Tablet,2022-05,2,False
257,Basic,Brazil,Laptop,2022-06,93,True
258,Standard,Mexico,Smartphone,2022-07,184,True
259,Standard,Spain,Smartphone,2022-08,259,True
260,Basic,Italy,Smartphone,2022-07,0,False
261,Premium,United States,Smart TV,2022-07,202,True
262,Basic,Canada,Tablet,2022-07,10,False
263,Standard,United Kingdom,Smartphone,2022-07,43,True
264,Premium,Australia,Smartphone,2022-08,6,False
265,Basic,Germany,Smart TV,2022-08,264,True
266,Premium,France,Tablet,2022-08,4,False
267,Basic,Brazil,Laptop,2022-09,281,True
268,Standard,Mexico,Smart TV,2022-10,12,False
269,Standard,Spain,Laptop,2022-10,93,True
270,Basic,Italy,Smart TV,2022-09,288,True
271,Premium,United States,Laptop,2022-08,15,False
272,Basic,Canada,Smartphone,2022-08,9,False
273,Standard,United Kingdom,Laptop,2022-08,1,False
274,Premium,Australia,Tablet,2022-08,260,True
275,Basic,Germany,Laptop,2022-08,165,True
276,Premium,France,Smart TV,2022-08,3,False
277,Basic,Brazil,Tablet,2022-09,1,False
278,Standard,Mexico,Laptop,2022-09,0,False
279,Standard,Spain,Laptop,2022-11,216,True
280,Basic,Italy,Laptop,2022-11,6,False
281,Premium,United States,Smart TV,2022-11,165,True
282,Basic,Canada,Smart TV,2022-10,188,True
283,Standard,United Kingdom,Smartphone,2022-06,296,True
284,Premium,Australia,Smartphone,2022-08,46,True
285,Basic,Germany,Laptop,2022-09,233,True
286,Premium,France,Laptop,2022-10,12,False
287,Basic,Brazil,Smartphone,2022-10,103,True
288,Standard,Mexico,Smart TV,2022-10,238,True
289,Standard,Spain,Smart TV,2022-11,150,True
290,Basic,Italy,Smartphone,2022-11,0,False
291,Premium,United States,Tablet,2022-12,140,True
292,Basic,Canada,Laptop,2022-12,12,False
293,Standard,United Kingdom,Laptop,2022-12,3,False
294,Premium,Australia,Laptop,2022-10,5,False
295,Basic,Germany,Laptop,2022-10,3,False
296,Basic,France,Tablet,2022-10,0,False
297,Basic,Brazil,Smartphone,2022-11,171,True
298,Standard,Mexico,Tablet,2022-11,8,False
299,Premium,Spain,Smartphone,2022-10,1,False
300,Basic,Italy,Laptop,2022-10,82,True
301,Basic,United States,Laptop,2022-09,112,True
302,Premium,Canada,Tablet,2022-09,0,False
303,Standard,United Kingdom,Tablet,2022-06,225,True
304,Standard,Australia,Smartphone,2022-06,103,True
305,Basic,Germany,Smart TV,2022-05,126,True
306,Premium,France,Tablet,2022-07,1,False
307,Standard,Brazil,Smart TV,2022-07,342,True
308,Basic,Mexico,Smart TV,2022-10,171,True
309,Standard,Spain,Smartphone,2022-08,162,True
310,Premium,Italy,Smartphone,2022-06,217,True
311,Basic,United States,Smartphone,2022-06,375,True
312,Premium,Canada,Laptop,2022-05,247,True
313,Standard,United Kingdom,Laptop,2022-05,13,False
314,Basic,Australia,Laptop,2022-04,273,True
315,Standard,Germany,Smart TV,2022-04,0,False
316,Premium,France,Laptop,2022-05,119,True
317,Basic,Brazil,Tablet,2022-08,145,True
318,Standard,Mexico,Laptop,2022-09,12,False
319,Premium,Spain,Smartphone,2022-08,297,True
320,Basic,Italy,Laptop,2022-08,7,False
321,Premium,United States,Smartphone,2022-06,314,True
322,Basic,Canada,Smartphone,2022-06,125,True
323,Standard,United Kingdom,Smartphone,2022-05,382,True
324,Standard,Australia,Tablet,2022-05,336,True
325,Basic,Germany,Tablet,2022-05,16,False
326,Premium,France,Smartphone,2022-06,0,False
327,Basic,Brazil,Smartphone,2022-07,3,False
328,Standard,Mexico,Tablet,2022-07,326,True
329,Premium,Spain,Smart TV,2022-07,84,True
330,Basic,Italy,Smart TV,2022-07,76,True
331,Premium,United States,Tablet,2022-07,349,True
332,Basic,Canada,Tablet,2022-07,194,True
333,Standard,United Kingdom,Smart TV,2022-07,4,False
334,Standard,Australia,Smart TV,2022-07,266,True
335,Basic,Germany,Tablet,2022-08,248,True
336,Premium,France,Laptop,2022-09,140,True
337,Basic,Brazil,Laptop,2022-10,1,False
338,Standard,Mexico,Tablet,2022-10,4,False
339,Premium,Spain,Laptop,2022-10,5,False
340,Basic,Italy,Smartphone,2022-09,215,True
341,Premium,United States,Laptop,2022-08,7,False
342,Basic,Canada,Laptop,2022-08,254,True
343,Standard,United Kingdom,Smart TV,2022-08,50,True
344,Standard,Australia,Smartphone,2022-08,3,False
345,Basic,Germany,Smart TV,2022-08,50,True
346,Premium,France,Tablet,2022-08,38,True
347,Basic,Brazil,Smartphone,2022-09,3,False
348,Standard,Mexico,Smart TV,2022-10,20,False
349,Premium,Spain,Smartphone,2022-11,197,True
350,Basic,Italy,Smartphone,2022-11,2,False
351,Premium,United States,Smart TV,2022-11,7,False
352,Basic,Canada,Laptop,2022-09,211,True
353,Standard,United Kingdom,Smartphone,2022-08,49,True
354,Standard,Australia,Laptop,2022-08,9,False
355,Basic,Germany,Tablet,2022-10,107,True
356,Premium,France,Smart TV,2022-10,102,True
357,Basic,Brazil,Smartphone,2022-10,241,True
358,Standard,Mexico,Smart TV,2022-11,156,True
359,Premium,Spain,Smartphone,2022-11,4,False
360,Basic,Italy,Tablet,2022-11,0,False
361,Premium,United States,Laptop,2022-11,5,False
362,Basic,Canada,Laptop,2022-12,44,True
363,Standard,United Kingdom,Smart TV,2022-11,90,True
364,Standard,Australia,Smart TV,2022-10,262,True
365,Basic,Germany,Laptop,2022-10,10,False
366,Premium,France,Smart TV,2022-10,247,True
367,Basic,Brazil,Laptop,2022-10,185,True
368,Standard,Mexico,Smartphone,2022-10,10,False
369,Premium,Spain,Smartphone,2022-10,9,False
370,Basic,Italy,Smartphone,2022-10,23,False
371,Basic,United States,Tablet,2022-09,258,True
372,Basic,Canada,Tablet,2022-09,137,True
373,Standard,United Kingdom,Tablet,2022-06,10,False
374,Premium,Australia,Laptop,2022-06,219,True
375,Basic,Germany,Laptop,2022-06,214,True
376,Basic,France,Smartphone,2022-06,303,True
377,Premium,Brazil,Laptop,2022-08,10,False
378,Standard,Mexico,Laptop,2022-08,9,False
379,Standard,Spain,Smart TV,2022-08,3,False
380,Basic,Italy,Smart TV,2022-08,3,False
381,Premium,United States,Laptop,2022-07,291,True
382,Standard,Canada,Smart TV,2022-06,3,False
383,Basic,United Kingdom,Smart TV,2022-06,335,True
384,Standard,Australia,Smartphone,2022-05,1,False
385,Premium,Germany,Smartphone,2022-05,129,True
386,Basic,France,Tablet,2022-07,70,True
387,Premium,Brazil,Tablet,2022-07,65,True
388,Standard,Mexico,Laptop,2022-07,2,False
389,Basic,Spain,Smart TV,2022-08,2,False
390,Standard,Italy,Laptop,2022-07,10,False
391,Premium,United States,Laptop,2022-06,362,True
392,Basic,Canada,Smart TV,2022-06,329,True
393,Standard,United Kingdom,Tablet,2022-06,1,False
394,Premium,Australia,Tablet,2022-05,0,False
395,Basic,Germany,Laptop,2022-06,34,True
396,Premium,France,Smartphone,2022-06,13,False
397,Basic,Brazil,Smartphone,2022-07,339,True
398,Standard,Mexico,Tablet,2022-07,7,False
399,Standard,Spain,Smartphone,2022-07,337,True
400,Basic,Italy,Laptop,2022-07,16,False
401,Premium,United States,Laptop,2022-07,68,True
402,Basic,Canada,Smartphone,2022-07,3,False
403,Standard,United Kingdom,Smartphone,2022-07,12,False
404,Premium,Australia,Smartphone,2022-08,169,True
405,Basic,Germany,Tablet,2022-08,3,False
406,Premium,France,Smartphone,2022-08,3,False
407,Basic,Brazil,Tablet,2022-08,294,True
408,Standard,Mexico,Tablet,2022-09,3,False
409,Standard,Spain,Smartphone,2022-09,125,True
410,Basic,Italy,Smart TV,2022-09,16,False
411,Premium,United States,Tablet,2022-09,1,False
412,Basic,Canada,Laptop,2022-09,145,True
413,Standard,United Kingdom,Smartphone,2022-08,31,True
414,Premium,Australia,Laptop,2022-08,5,False
415,Basic,Germany,Smartphone,2022-08,247,True
416,Premium,France,Tablet,2022-09,148,True
417,Basic,Brazil,Smart TV,2022-09,5,False
418,Standard,Mexico,Smart TV,2022-10,239,True
419,Standard,Spain,Laptop,2022-10,5,False
420,Basic,Italy,Laptop,2022-11,79,True
421,Premium,United States,Tablet,2022-10,183,True
422,Basic,Canada,Tablet,2022-09,123,True
423,Standard,United Kingdom,Smartphone,2022-09,220,True
424,Premium,Australia,Tablet,2022-09,125,True
425,Basic,Germany,Tablet,2022-10,9,False
426,Premium,France,Laptop,2022-10,193,True
427,Basic,Brazil,Smart TV,2022-11,1,False
428,Standard,Mexico,Smartphone,2022-11,5,False
429,Standard,Spain,Laptop,2022-11,154,True
430,Basic,Italy,Smart TV,2022-11,3,False
431,Premium,United States,Smart TV,2022-12,6,False
432,Basic,Canada,Smart TV,2022-11,69,True
433,Standard,United Kingdom,Smartphone,2022-11,165,True
434,Premium,Australia,Laptop,2022-10,9,False
435,Basic,Germany,Smart TV,2022-10,99,True
436,Premium,France,Smartphone,2022-10,0,False
437,Basic,Brazil,Smart TV,2022-10,178,True
438,Standard,Mexico,Smart TV,2022-10,12,False
439,Standard,Spain,Smart TV,2022-10,102,True
440,Basic,Italy,Tablet,2022-10,17,False
441,Premium,United States,Laptop,2022-10,115,True
442,Basic,Canada,Laptop,2022-07,90,True
443,Standard,United Kingdom,Smart TV,2022-07,200,True
444,Premium,Australia,Smartphone,2022-06,357,True
445,Basic,Germany,Tablet,2022-06,304,True
446,Basic,France,Smartphone,2022-06,355,True
447,Basic,Brazil,Laptop,2022-08,47,True
448,Standard,Mexico,Tablet,2022-08,309,True
449,Premium,Spain,Laptop,2022-08,2,False
450,Basic,Italy,Laptop,2022-08,5,False
451,Basic,United States,Laptop,2022-07,272,True
452,Premium,Canada,Laptop,2022-06,312,True
453,Standard,United Kingdom,Tablet,2022-05,120,True
454,Standard,Australia,Tablet,2022-05,11,False
455,Basic,Germany,Smart TV,2022-05,0,False
456,Premium,France,Tablet,2022-06,1,False
457,Standard,Brazil,Smart TV,2022-06,82,True
458,Basic,Mexico,Tablet,2022-07,6,False
459,Standard,Spain,Tablet,2022-07,272,True
460,Premium,Italy,Smart TV,2022-06,3,False
461,Basic,United States,Smart TV,2022-06,215,True
462,Premium,Canada,Smartphone,2022-06,104,True
463,Standard,United Kingdom,Smart TV,2022-06,1,False
464,Basic,Australia,Laptop,2022-06,5,False
465,Standard,Germany,Laptop,2022-06,319,True
466,Premium,France,Laptop,2022-06,9,False
467,Basic,Brazil,Laptop,2022-06,16,False
468,Standard,Mexico,Smart TV,2022-06,293,True
469,Premium,Spain,Tablet,2022-06,206,True
470,Basic,Italy,Tablet,2022-07,206,True
471,Premium,United States,Tablet,2022-07,197,True
472,Basic,Canada,Tablet,2022-07,340,True
473,Standard,United Kingdom,Smartphone,2022-07,65,True
474,Standard,Australia,Smartphone,2022-07,171,True
475,Basic,Germany,Smart TV,2022-08,1,False
476,Premium,France,Laptop,2022-08,256,True
477,Basic,Brazil,Laptop,2022-08,300,True
478,Standard,Mexico,Laptop,2022-09,4,False
479,Premium,Spain,Smartphone,2022-09,137,True
480,Basic,Italy,Laptop,2022-09,8,False
481,Premium,United States,Smart TV,2022-09,1,False
482,Basic,Canada,Smart TV,2022-08,11,False
483,Standard,United Kingdom,Smart TV,2022-08,20,False
484,Standard,Australia,Smartphone,2022-08,297,True
485,Basic,Germany,Tablet,2022-09,240,True
486,Premium,France,Laptop,2022-09,135,True
487,Basic,Brazil,Smart TV,2022-10,193,True
488,Standard,Mexico,Smart TV,2022-10,193,True
489,Premium,Spain,Tablet,2022-10,9,False
490,Basic,Italy,Smart TV,2022-10,105,True
491,Premium,United States,Smartphone,2022-10,2,False
492,Basic,Canada,Tablet,2022-09,157,True
493,Standard,United Kingdom,Smartphone,2022-09,222,True
494,Standard,Australia,Smart TV,2022-09,208,True
495,Basic,Germany,Smartphone,2022-09,206,True
496,Premium,France,Laptop,2022-10,7,False
497,Basic,Brazil,Smartphone,2022-11,17,False
498,Standard,Mexico,Smartphone,2022-11,9,False
499,Premium,Spain,Laptop,2022-11,211,True
500,Basic,Italy,Laptop,2022-11,2,False
501,Premium,Spain,Smartphone,2022-11,55,True
502,Basic,Spain,Smartphone,2022-11,1,False
503,Standard,United States,Tablet,2022-11,1,False
504,Standard,Canada,Laptop,2022-10,7,False
505,Basic,United States,Smartphone,2022-10,239,True
506,Premium,United States,Smart TV,2022-10,187,True
507,Basic,Canada,Tablet,2022-10,94,True
508,Standard,United Kingdom,Tablet,2022-10,238,True
509,Premium,Australia,Smartphone,2022-10,0,False
510,Basic,Germany,Tablet,2022-10,121,True
511,Premium,France,Smart TV,2022-07,178,True
512,Basic,Brazil,Tablet,2022-07,277,True
513,Standard,Mexico,Tablet,2022-07,343,True
514,Standard,Spain,Tablet,2022-07,19,False
515,Basic,Italy,Laptop,2022-07,296,True
516,Premium,Spain,Smart TV,2022-07,271,True
517,Basic,Spain,Smart TV,2022-08,269,True
518,Standard,United States,Tablet,2022-08,164,True
519,Premium,Canada,Smartphone,2022-08,51,True
520,Basic,United States,Smart TV,2022-08,48,True
521,Basic,United States,Smart TV,2022-06,0,False
522,Basic,Canada,Tablet,2022-06,304,True
523,Standard,United Kingdom,Smartphone,2022-06,374,True
524,Premium,Australia,Tablet,2022-06,380,True
525,Basic,Germany,Tablet,2022-06,226,True
526,Basic,France,Laptop,2022-06,0,False
527,Premium,Brazil,Tablet,2022-07,342,True
528,Standard,Mexico,Smartphone,2022-07,189,True
529,Standard,Spain,Laptop,2022-07,286,True
530,Basic,Italy,Smart TV,2022-06,94,True
531,Premium,Spain,Laptop,2022-06,313,True
532,Standard,Spain,Laptop,2022-06,232,True
533,Basic,United States,Smartphone,2022-06,0,False
534,Standard,Canada,Smart TV,2022-06,315,True
535,Premium,United States,Laptop,2022-06,3,False
536,Basic,United States,Smart TV,2022-06,366,True
537,Premium,Canada,Smartphone,2022-06,1,False
538,Standard,United Kingdom,Tablet,2022-06,92,True
539,Basic,Australia,Tablet,2022-07,8,False
540,Standard,Germany,Smartphone,2022-07,295,True
541,Premium,France,Smart TV,2022-07,337,True
542,Basic,Brazil,Smartphone,2022-07,175,True
543,Standard,Mexico,Smartphone,2022-07,1,False
544,Premium,Spain,Tablet,2022-08,2,False
545,Basic,Italy,Smart TV,2022-08,242,True
546,Premium,Spain,Smart TV,2022-08,153,True
547,Basic,Spain,Tablet,2022-09,7,False
548,Standard,United States,Smartphone,2022-09,141,True
549,Standard,Canada,Smartphone,2022-09,141,True
550,Basic,United States,Tablet,2022-09,2,False
551,Premium,United States,Laptop,2022-09,0,False
552,Basic,Canada,Tablet,2022-08,24,False
553,Standard,United Kingdom,Smart TV,2022-08,0,False
554,Premium,Australia,Smartphone,2022-08,291,True
555,Basic,Germany,Smartphone,2022-09,0,False
556,Premium,France,Smartphone,2022-09,123,True
557,Basic,Brazil,Smartphone,2022-10,1,False
558,Standard,Mexico,Smart TV,2022-10,7,False
559,Standard,Spain,Tablet,2022-10,4,False
560,Basic,Italy,Laptop,2022-10,187,True
561,Premium,Spain,Laptop,2022-09,2,False
562,Basic,Spain,Laptop,2022-09,274,True
563,Standard,United States,Tablet,2022-09,3,False
564,Premium,Canada,Smartphone,2022-09,112,True
565,Basic,United States,Laptop,2022-09,1,False
