cohort,month_index,active_users,cohort_size,retention
2022-11,0,293,295,0.993
2022-11,1,286,295,0.969
2022-11,2,264,295,0.895
2022-11,3,241,295,0.817
2022-11,4,222,295,0.753
2022-11,5,216,295,0.732
2022-11,6,206,295,0.698
2022-11,7,176,295,0.597
2022-11,8,152,295,0.515
2022-12,0,21,22,0.955
2022-12,1,21,22,0.955
2022-12,2,17,22,0.773
2022-12,3,19,22,0.864
2022-12,4,13,22,0.591
2022-12,5,13,22,0.591
2022-12,6,13,22,0.591
2022-12,7,8,22,0.364
2023-01,0,12,12,1.0
2023-01,1,12,12,1.0
2023-01,2,10,12,0.833
2023-01,3,9,12,0.75
2023-01,4,8,12,0.667
2023-01,5,8,12,0.667
2023-01,6,7,12,0.583
2023-02,0,7,7,1.0
2023-02,1,7,7,1.0
2023-02,2,6,7,0.857
2023-02,3,5,7,0.714
2023-02,4,5,7,0.714
2023-02,5,4,7,0.571
2023-03,0,6,6,1.0
2023-03,1,6,6,1.0
2023-03,2,5,6,0.833
2023-03,3,5,6,0.833
2023-03,4,4,6,0.667
2023-04,0,5,5,1.0
2023-04,1,4,5,0.8
2023-04,2,4,5,0.8
2023-04,3,4,5,0.8
2023-05,0,4,5,0.8
2023-05,1,5,5,1.0
2023-05,2,4,5,0.8
2023-06,0,3,3,1.0
2023-06,1,3,3,1.0
